week_start,lcfs_cat,GHGE_weekly_mean,LU_weekly_mean,WU_weekly_mean,GHGE_perkg_weekly_mean,LU_perkg_weekly_mean,WU_perkg_weekly_mean,GHGE_weekly_rank,LU_weekly_rank,WU_weekly_rank,calendar_month,GHGE_annual_mean,GHGE_annual_min,GHGE_annual_max,GHGE_annual_share,GHGE_annual_rank,GHGE_pct_from_annual_mean,GHGE_perkg_annual_mean,GHGE_perkg_annual_min,GHGE_perkg_annual_max,GHGE_perkg_max_abs_dev,GHGE_perkg_annual_rank,GHGE_perkg_pct_from_annual_mean,LU_annual_mean,LU_annual_min,LU_annual_max,LU_annual_share,LU_annual_rank,LU_pct_from_annual_mean,LU_perkg_annual_mean,LU_perkg_annual_min,LU_perkg_annual_max,LU_perkg_max_abs_dev,LU_perkg_annual_rank,LU_perkg_pct_from_annual_mean,WU_annual_mean,WU_annual_min,WU_annual_max,WU_annual_share,WU_annual_rank,WU_pct_from_annual_mean,WU_perkg_annual_mean,WU_perkg_annual_min,WU_perkg_annual_max,WU_perkg_max_abs_dev,WU_perkg_annual_rank,WU_perkg_pct_from_annual_mean
2022-01-01,Edible oils and plant-based spreads,11704.462928571429,33096.25662857143,2227346.4102285714,4.595404857142857,12.999301714285716,873.8474891428571,12,9,11,0,11516.024682,7616.68445,19449.161571,1.153581,14,1.636313,4.571062,4.524855,4.614628,0.046207,9,0.532537,32326.766906,21393.85755,58323.040243,1.25224,9,2.380349,12.826853,12.319996,13.748304,0.921451,8,1.344435,2159306.817661,1382403.26375,3664321.3365,1.689136,11,3.150992,859.015758,796.975647,904.810217,62.040111,9,1.726596
2022-01-01,Fish and fish products,48433.79454285714,28013.00562857143,12606519.529428571,14.164105285714285,8.182162428571429,3683.9001137142855,5,11,4,0,44048.218618,32840.772867,56109.634029,4.41239,6,9.956307,14.279638,14.164105,14.795633,0.515995,5,-0.809075,25097.448283,17677.2765,30066.8442,0.972198,12,11.616947,8.135042,7.924591,8.182162,0.210451,10,0.579229,11359882.239798,8182560.301667,13942633.360857,8.886365,4,10.974034,3682.364329,3675.505187,3683.900114,6.859142,1,0.041706
2022-01-01,"Fresh, chilled or frozen fruit",16129.553614285715,26813.5897,3411778.4392999997,0.8552609999999999,1.4213367142857145,181.192111,10,12,9,0,15789.317297,10891.896033,19602.676833,1.581645,10,2.154851,0.869141,0.801294,0.91134,0.067847,26,-1.596996,26149.090577,18436.855767,31249.10995,1.012935,11,2.541194,1.440723,1.375786,1.496551,0.064936,24,-1.345568,3309952.701717,2308666.66155,4022982.239033,2.589239,9,3.07635,182.199418,171.490344,193.700603,11.501184,24,-0.55286
2022-01-01,Fruit and vegetable juices,4102.438857142857,6734.1819428571425,1008403.9305428572,0.552747,0.9079084285714286,135.94392585714286,22,21,18,0,3956.552029,3322.8124,6014.348971,0.396335,21,3.687221,0.549655,0.523444,0.565905,0.026211,27,0.562471,6420.381727,5507.827633,10098.037914,0.248706,21,4.887563,0.890925,0.874856,0.907908,0.016983,26,1.906262,957660.438973,802306.9711,1466231.447171,0.749138,19,5.298694,133.064152,127.725177,136.908499,5.338975,25,2.1642
2022-01-01,"Leafy and stem vegetables, including cabbages",2878.9757,2893.5313,612337.9842571429,0.5211427142857142,0.5233854285714286,110.77811728571429,26,25,23,0,2757.371029,2291.510433,5559.985586,0.276211,24,4.410167,0.52777,0.516959,0.544295,0.016525,28,-1.255716,2803.538455,2332.706917,5906.793629,0.1086,26,3.209974,0.535526,0.508317,0.556186,0.027209,29,-2.267066,582885.201471,490911.0199,1223458.897614,0.455967,23,5.05293,111.33321,109.938657,113.745759,2.412549,26,-0.498587
2022-01-01,Meat alternative,3503.2967857142858,4499.523785714286,213911.03694285714,3.2363102857142856,4.1423945714285715,196.47185214285716,23,23,25,0,2334.920785,1507.460183,3546.6332,0.233893,27,50.039214,3.203856,3.15683,3.258684,0.054828,14,1.012973,2935.016621,1767.951217,4661.065671,0.113694,25,53.304883,4.007139,3.664715,4.363268,0.356129,17,3.375366,134877.095393,76279.345517,224216.564714,0.105509,27,58.597007,183.238195,156.950947,211.128878,27.890684,23,7.222107
2022-01-01,Other Meat,151538.62444285717,315748.5910285714,13319154.603757143,13.634735142857142,28.279106428571428,1201.3087152857145,3,3,2,0,155605.134295,120499.749017,240673.170914,15.58725,3,-2.613352,14.54359,13.440539,15.963764,1.420174,4,-6.249177,346493.577259,242973.5198,463373.103614,13.422097,3,-8.873176,32.476188,26.094584,40.120317,7.644129,4,-12.923567,12871723.378448,10935977.428233,23519542.951257,10.069016,2,3.476079,1196.865944,1171.617404,1306.265527,109.399583,7,0.3712
2022-01-01,Other vegetables,24022.90877142857,57133.87907142857,4683221.626914286,1.3548419999999999,3.200616,263.68783114285714,9,6,6,0,21710.047346,15914.283133,28532.786986,2.174735,9,10.653415,1.356362,1.328676,1.385649,0.029287,22,-0.112062,48418.258862,34800.809067,62979.575171,1.875575,7,18.000689,3.024343,2.70005,3.328264,0.324293,20,5.828476,4158886.236624,3003937.482633,5335174.981029,3.253324,6,12.607592,259.81835,251.354083,267.523771,8.464267,21,1.489302
2022-01-01,Pasta products,4231.418685714286,9202.505628571429,1572840.7931571428,1.7589784285714285,3.8296514285714283,653.689195,21,19,13,0,3786.170854,2469.686283,4294.3287,0.379268,22,11.759845,1.768948,1.755839,1.788505,0.019556,20,-0.563603,8190.71269,5343.18925,9354.024514,0.317283,19,12.352929,3.82556,3.819282,3.831063,0.006278,18,0.106951,1402184.256253,917760.774833,1595015.077443,1.096871,14,12.170764,655.192799,650.769265,663.292973,8.100175,11,-0.22949
2022-01-01,Pastry (savoury),11949.650385714285,30473.867185714284,840238.0782714287,9.030353285714286,22.95292314285714,640.5785577142857,11,10,19,0,12126.324274,10321.05505,19579.955629,1.214716,12,-1.456945,8.741523,6.799252,9.710859,1.942272,7,3.304114,29965.389169,23568.996617,40972.183471,1.160767,10,1.696884,21.659973,14.495135,25.177449,7.164837,6,5.969309,922921.302795,826556.673571,1901873.346986,0.721963,20,-8.95886,662.523247,612.539212,710.974256,49.984035,10,-3.31229
2022-01-01,"Potatoes, root crops, non-starchy bulbs and mushrooms",10674.474,15838.946871428572,1141050.4871428572,0.4638305714285714,0.6886312857142858,49.60294157142857,13,15,17,0,9479.581166,7237.189171,19570.309457,0.949587,16,12.604912,0.46348,0.458367,0.464637,0.005112,29,0.075699,14246.901157,10888.947086,28934.506829,0.551881,16,11.174681,0.697227,0.679129,0.705335,0.018099,28,-1.232911,1017563.41704,774128.405286,2033935.952857,0.795998,18,12.135565,49.794536,47.743595,50.189854,2.050941,28,-0.384771
2022-01-01,Preserved fruit and fruit based products,781.0496285714286,1158.7378857142858,166881.5844142857,0.8721274285714286,1.2971112857142857,186.68795414285714,29,29,26,0,792.376834,427.837867,909.3098,0.079374,29,-1.429523,0.873013,0.862756,0.878507,0.010257,25,-0.101486,1172.190112,623.814667,1352.714314,0.045407,30,-1.147615,1.290893,1.277285,1.314326,0.023434,25,0.481705,168954.540101,90254.870717,194439.635686,0.132166,25,-1.226931,186.086047,184.937372,188.026297,1.940251,22,0.323457
2022-01-01,Ready meals,68891.08775714286,232432.43784285712,7691810.415771429,11.413083714285715,38.37794185714286,1276.1609311428572,4,4,5,0,69234.105759,59992.4463,88710.792357,6.935307,4,-0.495447,11.115542,10.328625,11.579405,0.786918,6,2.676804,227633.511184,196833.1531,286054.254,8.817823,4,2.108181,36.533255,33.59909,38.377942,2.934165,3,5.049338,8015120.061351,6754268.6726,9946543.391871,6.269897,5,-4.033747,1287.886634,1233.17431,1329.759094,54.712323,6,-0.910461
2022-01-01,Rice,7405.989,4693.2589,3730970.033514286,4.397832857142857,2.786191,2215.7656662857144,18,22,8,0,6693.004805,4764.563817,7877.731471,0.670451,18,10.652677,4.413957,4.395409,4.435112,0.021155,11,-0.365302,4231.196538,3004.00565,4992.0532,0.163904,23,10.920371,2.790459,2.785549,2.796059,0.0056,21,-0.152957,3374950.652558,2405027.938333,3968670.926971,2.640084,8,10.548877,2225.728891,2214.268126,2238.80079,13.071899,3,-0.447639
2022-01-01,"Salt, spices, culinary herbs and other food products",440.14578571428575,1081.3372714285713,138777.7302,0.8974731428571429,2.2170381428571426,287.4816031428571,30,30,27,0,516.810652,379.375457,1145.614886,0.05177,30,-14.834227,1.074819,0.809817,1.221574,0.265002,23,-16.500064,1349.002485,884.187243,3982.261571,0.052256,29,-19.841714,2.758251,1.860042,4.102337,1.344086,22,-19.621581,163697.872327,91196.791014,737993.111686,0.128054,26,-15.223254,323.367205,227.575549,684.446814,361.079609,19,-11.097477
2022-01-01,"Sauces, condiments",9708.726200000001,19200.286485714285,1393990.6390285713,2.2537865714285714,4.467770285714286,323.93088842857145,16,13,16,0,9741.672716,6612.831643,16390.927014,0.975841,15,-0.338202,2.272242,2.219467,2.334464,0.062222,16,-0.812202,19720.604072,13509.463229,32628.764671,0.763916,14,-2.638446,4.633239,4.137111,5.845381,1.212142,15,-3.57134,1352646.415272,951675.764257,2346649.088014,1.058119,16,3.056543,315.774797,298.01131,338.335853,22.561056,20,2.582882
2022-01-01,Savoury snacks,3381.4493,10938.676071428572,799211.4382285714,1.8920635714285716,6.1094415714285715,437.7158464285714,24,17,21,0,3508.406924,2934.376717,6976.290086,0.351444,23,-3.618669,1.778011,1.72737,1.930614,0.152603,19,6.414621,11150.688654,9137.195133,21948.036743,0.431943,17,-1.901341,5.653864,5.480259,6.146643,0.492779,13,8.057803,678020.444067,547013.339467,1387744.531357,0.530387,22,17.874239,343.50234,316.547979,437.715846,94.213506,18,27.427326
2022-01-01,"Soft drinks (inc. fizzy and ready to drink fruit drinks), mineral or spring water",4758.8168000000005,1169.9967714285715,55096.7526,0.20639685714285713,0.05081485714285715,2.3955494285714285,19,28,30,0,5649.728345,4618.665886,10412.868729,0.565944,19,-15.769104,0.21015,0.205601,0.225306,0.015156,30,-1.785751,1483.983748,1169.996771,3335.102614,0.057485,28,-21.158384,0.055049,0.049885,0.071721,0.016672,30,-7.691485,65043.039427,52897.311257,116022.955314,0.05088,30,-15.291854,2.439413,2.236549,2.64423,0.204817,30,-1.798108
2022-01-01,"Sugar, sugar products, jams and marmalades",4492.125385714286,3793.1359571428575,776961.7570285714,2.1326945714285714,1.803174857142857,369.0708112857143,20,24,22,0,5300.058234,3688.53565,8378.2543,0.530917,20,-15.243849,2.154882,2.107335,2.194137,0.047547,17,-1.029632,4454.640753,3104.651483,7005.104414,0.172559,22,-14.84979,1.811221,1.793978,1.825456,0.017243,23,-0.444237,914944.404727,637128.790567,1443213.123371,0.715723,21,-15.080987,372.001013,365.721601,377.185269,6.279412,16,-0.787687
2022-01-01,"Tea, coffee, cocoa and powdered chocolate",42204.99171428571,45850.92747142857,111351.3862,26.715774142857146,28.951484285714287,70.38412414285715,6,8,28,0,39709.720555,28327.34405,54265.222929,3.977795,7,6.283779,26.740506,26.019858,27.627357,0.88685,2,-0.09249,42263.378573,30278.014383,59652.770557,1.637153,8,8.488552,28.425734,27.112628,30.299542,1.873808,5,1.849558,99012.963197,64382.544514,171887.487971,0.077454,28,12.461422,66.404043,50.741391,87.517516,21.113474,27,5.993734
2022-01-08,"Baker's yeast, dessert preparations, soups",11109.72587142857,11906.442442857142,1911053.4077,2.4438467142857143,2.6015179999999996,420.0741972857143,15,18,13,0,7985.690448,5158.9966,11109.725871,0.799941,17,39.120417,2.638836,2.399434,3.01519,0.376354,15,-7.389204,10133.984543,7743.733817,12772.186,0.392559,18,17.490237,3.457694,2.339541,5.233981,1.776287,19,-24.761484,1385906.736596,932849.351929,1911053.4077,1.084137,15,37.89192,459.239816,405.329624,545.753175,86.513359,15,-8.528359
2022-01-08,Beef and Lamb,253851.01537142857,917716.5920857143,4138477.0595714287,91.81228457142856,331.7942502857143,1496.1645884285715,1,1,7,0,207224.686107,139791.837786,342066.711086,20.758075,2,22.500374,90.78412,81.878412,93.473207,8.905708,1,1.132538,762451.264726,511727.556257,1210221.180571,29.535021,1,20.363967,332.544384,330.582466,339.041855,6.497471,1,-0.225574,3446260.019342,2311457.704143,5441731.711429,2.695867,7,20.086036,1502.220715,1486.381377,1554.67736,52.456645,4,-0.403145
2022-01-08,Breads and cereals,38419.837542857145,93714.2112857143,13511368.068542857,1.7343620000000002,4.229035285714286,609.4833844285714,7,5,3,0,34676.828332,27259.42595,44667.298843,3.473641,8,10.793978,1.729168,1.706626,1.753884,0.024716,21,0.300398,84408.522919,67389.80845,110732.959757,3.269727,6,11.024584,4.207487,4.155123,4.294658,0.087171,16,0.512132,12243011.855362,9951514.284967,16090617.298671,9.577201,3,10.359838,610.467519,604.357677,626.34124,15.87372,12,-0.16121
2022-01-08,"Buns, crispbread and biscuits",12372.7655,15619.127271428571,968492.0171428572,4.4945257142857145,5.676789285714285,352.0750262857143,12,16,19,0,14641.766396,7038.073033,18824.045329,1.466692,11,-15.49677,4.567265,3.926231,4.713494,0.641034,10,-1.59263,18464.739406,8809.09675,23471.154129,0.715267,15,-15.41106,5.761494,4.890149,5.974548,0.871345,12,-1.470179,1107429.666344,654959.338583,1873560.941871,0.866296,17,-12.545957,345.52277,336.010497,388.190236,42.667466,17,1.896331
2022-01-08,Cakes and puddings,10631.866842857142,21521.310971428575,1634683.1233571428,3.746434285714286,7.581823999999999,575.4164911428571,16,13,14,0,12052.166693,9446.5345,27323.8271,1.207288,13,-11.784602,3.866842,3.605168,4.120057,0.261674,12,-3.113845,24195.206302,19153.708186,54549.739343,0.937248,13,-11.051343,7.761808,7.357303,8.090825,0.404506,11,-2.318847,1796396.537273,1442834.604586,4056742.431329,1.405247,13,-9.0021,574.910952,564.979312,581.588772,9.93164,13,0.087933
2022-01-08,Chocolate,38052.65958571429,65833.0582,2015192.0294428573,26.644651714285715,46.09677471428571,1411.0727441428571,8,6,12,0,58315.82945,28150.229133,132547.293257,5.841603,5,-34.747289,26.648336,26.635705,26.70231,0.053974,3,-0.013826,100886.00487,48669.253133,229294.0415,3.908014,5,-34.745103,46.100992,46.086531,46.162786,0.061793,2,-0.009149,3087731.596088,1485490.099517,7016207.887686,2.415405,10,-34.735518,1410.912515,1408.565066,1411.461877,2.347449,5,0.011356
2022-01-08,Confectionery products,2239.5755142857142,3492.8063857142856,293966.071,3.4772347142857143,5.420474428571429,454.04582414285716,27,25,24,0,2639.015552,1230.34235,3506.494586,0.264355,26,-15.135949,3.375115,3.076151,3.996045,0.620931,13,3.025673,4173.185967,1949.08865,5594.6689,0.161656,24,-16.303601,5.335199,4.888743,6.384052,1.048852,14,1.598349,365423.519615,182796.127083,451633.892,0.285856,24,-19.554693,467.73042,451.206086,488.80262,21.0722,14,-2.925744
2022-01-08,Dairy alternative,3323.2612999999997,2379.9254,95957.07314285715,0.980259,0.7019877142857143,28.301672571428572,25,27,29,0,2660.652938,1800.759517,3323.2613,0.266522,25,24.903976,0.980224,0.980018,0.980467,0.000243,24,0.003559,1904.762021,1287.6059,2379.9254,0.073785,27,24.946076,0.701721,0.700136,0.703588,0.001867,27,0.038052,76719.871596,51670.4985,95957.073143,0.060015,29,25.074601,28.261161,28.02064,28.544487,0.283326,29,0.143347
2022-01-08,Dairy products and eggs,247935.39085714286,757470.4396714286,51620971.98335714,4.6506871428571435,14.212779571428571,968.4504211428572,2,2,1,0,232477.799758,181843.006267,351065.404543,23.287725,1,6.649061,4.695567,4.563031,5.229134,0.533567,8,-0.955789,710535.102733,556267.420133,1103935.183871,27.523948,2,6.605632,14.350037,13.874504,16.437715,2.087678,7,-0.956495,48504478.375397,37951671.559517,74580377.351429,37.943045,1,6.425167,979.638118,947.127741,1110.38497,130.746852,8,-1.142023
2022-01-08,Dried fruit and nuts,1578.1524714285715,9159.226371428571,2461748.8187,1.8874152857142856,10.960439571428571,2946.254869142857,28,20,10,0,1354.723428,1038.388929,3492.095486,0.135705,28,16.492595,1.889388,1.871719,1.912103,0.022716,18,-0.104406,7856.897445,6027.1344,20353.999714,0.304352,20,16.575613,10.957706,10.926228,10.982189,0.031477,9,0.024949,2111373.829218,1619963.4337,5475933.913743,1.65164,12,16.594645,2944.647013,2926.133188,2959.04748,18.513825,2,0.054603
2022-01-08,Edible oils and plant-based spreads,12586.19757142857,35492.91537142857,2387647.9150571427,4.614627857142857,13.023496857142858,875.8188965714286,11,9,11,0,11516.024682,7616.68445,19449.161571,1.153581,14,9.292902,4.571062,4.524855,4.614628,0.046207,9,0.953074,32326.766906,21393.85755,58323.040243,1.25224,9,9.794201,12.826853,12.319996,13.748304,0.921451,8,1.533064,2159306.817661,1382403.26375,3664321.3365,1.689136,11,10.574741,859.015758,796.975647,904.810217,62.040111,9,1.956092
2022-01-08,Fish and fish products,50657.542971428564,29235.898714285715,13167773.135,14.167874428571428,8.180625428571428,3683.8500097142855,5,11,4,0,44048.218618,32840.772867,56109.634029,4.41239,6,15.004748,14.279638,14.164105,14.795633,0.515995,5,-0.78268,25097.448283,17677.2765,30066.8442,0.972198,12,16.489527,8.135042,7.924591,8.182162,0.210451,10,0.560336,11359882.239798,8182560.301667,13942633.360857,8.886365,4,15.914698,3682.364329,3675.505187,3683.900114,6.859142,1,0.040346
2022-01-08,"Fresh, chilled or frozen fruit",17440.66804285714,28967.41478571429,3693384.8364285715,0.8531187142857143,1.4175257142857143,180.68698742857143,10,12,9,0,15789.317297,10891.896033,19602.676833,1.581645,10,10.458658,0.869141,0.801294,0.91134,0.067847,26,-1.843479,26149.090577,18436.855767,31249.10995,1.012935,11,10.777905,1.440723,1.375786,1.496551,0.064936,24,-1.610088,3309952.701717,2308666.66155,4022982.239033,2.589239,9,11.584218,182.199418,171.490344,193.700603,11.501184,24,-0.830097
2022-01-08,Fruit and vegetable juices,4212.864057142857,6876.2916,1030428.0536285714,0.556165,0.9065301428571428,136.02476757142855,22,21,18,0,3956.552029,3322.8124,6014.348971,0.396335,21,6.478166,0.549655,0.523444,0.565905,0.026211,27,1.184315,6420.381727,5507.827633,10098.037914,0.248706,21,7.100978,0.890925,0.874856,0.907908,0.016983,26,1.751559,957660.438973,802306.9711,1466231.447171,0.749138,19,7.598478,133.064152,127.725177,136.908499,5.338975,25,2.224954
2022-01-08,"Leafy and stem vegetables, including cabbages",3320.163628571429,3381.252085714286,710339.9938,0.5214525714285714,0.5308045714285715,111.523273,26,26,23,0,2757.371029,2291.510433,5559.985586,0.276211,24,20.410478,0.52777,0.516959,0.544295,0.016525,28,-1.197005,2803.538455,2332.706917,5906.793629,0.1086,26,20.606588,0.535526,0.508317,0.556186,0.027209,29,-0.881673,582885.201471,490911.0199,1223458.897614,0.455967,23,21.866191,111.33321,109.938657,113.745759,2.412549,26,0.170715
2022-01-08,Meat alternative,3546.6331999999998,4661.0656714285715,224216.56471428572,3.2481842857142857,4.267946428571428,205.14907157142858,24,23,25,0,2334.920785,1507.460183,3546.6332,0.233893,27,51.895226,3.203856,3.15683,3.258684,0.054828,14,1.383589,2935.016621,1767.951217,4661.065671,0.113694,25,58.808834,4.007139,3.664715,4.363268,0.356129,17,6.508571,134877.095393,76279.345517,224216.564714,0.105509,27,66.237688,183.238195,156.950947,211.128878,27.890684,23,11.957593
2022-01-08,Other Meat,165317.40452857144,345088.49444285716,14465673.905614287,13.683864428571429,28.61255585714286,1195.8635201428572,3,3,2,0,155605.134295,120499.749017,240673.170914,15.58725,3,6.241613,14.54359,13.440539,15.963764,1.420174,4,-5.91137,346493.577259,242973.5198,463373.103614,13.422097,3,-0.405515,32.476188,26.094584,40.120317,7.644129,4,-11.896816,12871723.378448,10935977.428233,23519542.951257,10.069016,2,12.38335,1196.865944,1171.617404,1306.265527,109.399583,7,-0.083754
2022-01-08,Other vegetables,25047.619514285714,58948.917442857135,4884448.145742857,1.3552971428571428,3.1925415714285714,264.33241485714285,9,7,6,0,21710.047346,15914.283133,28532.786986,2.174735,9,15.373399,1.356362,1.328676,1.385649,0.029287,22,-0.078506,48418.258862,34800.809067,62979.575171,1.875575,7,21.749354,3.024343,2.70005,3.328264,0.324293,20,5.561495,4158886.236624,3003937.482633,5335174.981029,3.253324,6,17.446063,259.81835,251.354083,267.523771,8.464267,21,1.737393
2022-01-08,Pasta products,4281.293414285714,9283.2851,1587834.4548571429,1.764697,3.8272779999999997,654.6353147142856,21,19,15,0,3786.170854,2469.686283,4294.3287,0.379268,22,13.077132,1.768948,1.755839,1.788505,0.019556,20,-0.240328,8190.71269,5343.18925,9354.024514,0.317283,19,13.339162,3.82556,3.819282,3.831063,0.006278,18,0.04491,1402184.256253,917760.774833,1595015.077443,1.096871,14,13.240072,655.192799,650.769265,663.292973,8.100175,11,-0.085087
2022-01-08,Pastry (savoury),12240.703857142857,31656.2853,853113.1932714286,9.710858714285715,25.177449285714285,673.7523,13,10,21,0,12126.324274,10321.05505,19579.955629,1.214716,12,0.943234,8.741523,6.799252,9.710859,1.942272,7,11.08886,29965.389169,23568.996617,40972.183471,1.160767,10,5.642831,21.659973,14.495135,25.177449,7.164837,6,16.239525,922921.302795,826556.673571,1901873.346986,0.721963,20,-7.56382,662.523247,612.539212,710.974256,49.984035,10,1.694892
2022-01-08,"Potatoes, root crops, non-starchy bulbs and mushrooms",11509.194214285715,17098.904042857142,1229831.829142857,0.463565,0.6885711428571428,49.514548285714284,14,15,17,0,9479.581166,7237.189171,19570.309457,0.949587,16,21.410366,0.46348,0.458367,0.464637,0.005112,29,0.0184,14246.901157,10888.947086,28934.506829,0.551881,16,20.018409,0.697227,0.679129,0.705335,0.018099,28,-1.241537,1017563.41704,774128.405286,2033935.952857,0.795998,18,20.86046,49.794536,47.743595,50.189854,2.050941,28,-0.562287
